,Make_x,Model,Body Type,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total Sales,Unnamed: 0.1,Unnamed: 0,Make_y,Origin,DriveTrain,MSRP,Invoice,EngineSize,Cylinders,Horsepower,MPG_City,MPG_Highway,Weight,Wheelbase,Length,Sum
0,Acura,ILX,Sedan,62,65,124,116,93,73,70,68,58,59,39,43,870,7.0,440.0,Acura,,,32462.695454545454,29732.477272727272,,,,,,,,,13900.0
1,Acura,MDX,SUV,93,389,782,611,550,501,347,516,309,406,303,275,5082,0.0,0.0,Acura,Asia,All,36945.0,33337.0,3.5,6.0,265.0,17.0,23.0,4451.0,106.0,189.0,60057.0
2,Acura,NSX,2 Door Coupe,0,2,3,5,5,1,1,2,3,0,1,0,23,6.0,6.0,Acura,Asia,Rear,89765.0,79978.0,3.2,6.0,290.0,17.0,24.0,3153.0,100.0,174.0,124.0
3,Acura,RDX,SUV,443,466,650,552,607,738,747,720,788,854,661,750,7976,5.0,5.0,Acura,Asia,Front,46100.0,41100.0,3.5,6.0,225.0,18.0,24.0,3893.0,115.0,197.0,57013.0
4,Acura,RLX,Sedan,0,0,1,0,0,0,0,0,1,0,0,0,2,4.0,4.0,Acura,Asia,Front,43755.0,39014.0,3.5,6.0,225.0,18.0,24.0,3880.0,115.0,197.0,214.0
5,Acura,TLX,Sedan,111,112,309,0,1,0,391,249,225,143,155,85,1781,,,,,,,,,,,,,,,,
6,Alfa Romeo,4C,2 Door Coupe,1,1,1,3,3,3,0,0,0,0,0,0,12,,,,,,,,,,,,,,,,
7,Alfa Romeo,Giulia,Sedan,12,12,14,26,25,26,15,14,15,14,14,14,201,,,,,,,,,,,,,,,,
8,Alfa Romeo,Stelvio,SUV,42,42,48,59,57,59,68,65,68,67,67,67,709,,,,,,,,,,,,,,,,
9,Audi,A3,Sedan,40,40,45,2,2,2,0,0,0,98,98,98,425,27.0,447.0,Audi,,,32462.695454545454,29732.477272727272,,,,,,,,,2387.0
10,Audi,A4,Sedan,113,113,127,224,216,224,117,113,117,46,46,46,1502,8.0,7.0,Audi,Europe,Front,25940.0,23508.0,1.8,4.0,170.0,22.0,31.0,3252.0,104.0,179.0,16263.0
11,Audi,A4,Sedan,113,113,127,224,216,224,117,113,117,46,46,46,1502,9.0,8.0,Audi,Europe,Front,31840.0,28846.0,3.0,6.0,220.0,20.0,28.0,3462.0,104.0,179.0,16263.0
12,Audi,A4,Sedan,113,113,127,224,216,224,117,113,117,46,46,46,1502,10.0,9.0,Audi,Europe,All,33430.0,30366.0,3.0,6.0,220.0,17.0,26.0,3583.0,104.0,179.0,16263.0
13,Audi,A4,Sedan,113,113,127,224,216,224,117,113,117,46,46,46,1502,11.0,10.0,Audi,Europe,All,34480.0,31388.0,3.0,6.0,220.0,18.0,25.0,3627.0,104.0,179.0,16263.0
14,Audi,A4,Sedan,113,113,127,224,216,224,117,113,117,46,46,46,1502,12.0,11.0,Audi,Europe,Front,42490.0,38325.0,3.0,6.0,220.0,20.0,27.0,3814.0,105.0,180.0,16263.0
15,Audi,A4,Sedan,113,113,127,224,216,224,117,113,117,46,46,46,1502,13.0,12.0,Audi,Europe,All,44240.0,40075.0,3.0,6.0,220.0,18.0,25.0,4013.0,105.0,180.0,16263.0
16,Audi,A5,Sedan,181,181,204,431,414,431,177,170,177,85,85,85,2621,28.0,448.0,Audi,,,32462.695454545454,29732.477272727272,,,,,,,,,17128.0
17,Audi,A6,Sedan,95,95,107,91,87,91,34,33,34,32,32,32,763,15.0,14.0,Audi,Europe,Front,36640.0,33129.0,3.0,6.0,220.0,20.0,27.0,3561.0,109.0,192.0,9543.0
18,Audi,A6,Sedan,95,95,107,91,87,91,34,33,34,32,32,32,763,16.0,15.0,Audi,Europe,All,39640.0,35992.0,3.0,6.0,220.0,18.0,25.0,3880.0,109.0,192.0,9543.0
19,Audi,A6,Sedan,95,95,107,91,87,91,34,33,34,32,32,32,763,17.0,16.0,Audi,Europe,All,42840.0,38840.0,2.7,6.0,250.0,18.0,25.0,3836.0,109.0,192.0,9543.0
20,Audi,A6,Sedan,95,95,107,91,87,91,34,33,34,32,32,32,763,18.0,17.0,Audi,Europe,All,49690.0,44936.0,4.2,8.0,300.0,17.0,24.0,4024.0,109.0,193.0,9543.0
21,Audi,A6,Sedan,95,95,107,91,87,91,34,33,34,32,32,32,763,19.0,18.0,Audi,Europe,All,40840.0,37060.0,3.0,6.0,220.0,18.0,25.0,4035.0,109.0,192.0,9543.0
22,Audi,A7,Sedan,37,37,42,60,57,60,17,16,17,16,16,16,391,29.0,449.0,Audi,,,32462.695454545454,29732.477272727272,,,,,,,,,3080.0
23,Audi,A8,Sedan,6,6,6,8,7,8,6,6,6,3,3,3,68,20.0,19.0,Audi,Europe,All,69190.0,64740.0,4.2,8.0,330.0,17.0,24.0,4399.0,121.0,204.0,2068.0
24,Audi,e-Tron GT,Sedan,45,45,51,1,1,1,97,95,97,91,91,91,706,,,,,,,,,,,,,,,,
25,Audi,Q3,SUV,553,553,622,843,810,843,581,559,581,574,574,574,7667,33.0,453.0,Audi,,,32462.695454545454,29732.477272727272,,,,,,,,,34464.0
26,Audi,Q5,SUV,623,623,701,1268,1219,1268,814,784,814,618,618,618,9968,36.0,456.0,Audi,,,32462.695454545454,29732.477272727272,,,,,,,,,60299.0
27,Audi,Q7,SUV,210,210,236,303,292,303,254,244,254,111,111,111,2639,37.0,457.0,Audi,,,32462.695454545454,29732.477272727272,,,,,,,,,25363.0
28,Audi,Q8,SUV,130,130,146,211,203,211,114,110,114,35,35,35,1474,38.0,458.0,Audi,,,32462.695454545454,29732.477272727272,,,,,,,,,12539.0
29,Audi,R8,2 Door Coupe,12,12,13,19,18,19,8,8,8,10,10,10,147,39.0,459.0,Audi,,,32462.695454545454,29732.477272727272,,,,,,,,,648.0
30,Audi,TT,2 Door Coupe,11,11,12,34,33,34,16,15,16,3,3,3,191,24.0,23.0,Audi,Europe,Front,35940.0,32512.0,1.8,4.0,180.0,20.0,28.0,3131.0,95.0,159.0,987.0
31,Audi,TT,2 Door Coupe,11,11,12,34,33,34,16,15,16,3,3,3,191,25.0,24.0,Audi,Europe,All,37390.0,33891.0,1.8,4.0,225.0,20.0,28.0,2921.0,96.0,159.0,987.0
32,Audi,TT,2 Door Coupe,11,11,12,34,33,34,16,15,16,3,3,3,191,26.0,25.0,Audi,Europe,All,40590.0,36739.0,3.2,6.0,250.0,21.0,29.0,3351.0,96.0,159.0,987.0
33,BMW,2-Series,2 Door Coupe,152,152,171,237,228,237,214,206,214,78,78,78,2045,60.0,460.0,BMW,,,32462.695454545454,29732.477272727272,,,,,,,,,15684.0
34,BMW,3-Series,Sedan,287,287,323,453,436,543,403,388,403,305,305,305,4438,,,,,,,,,,,,,,,,
35,BMW,4-Series,2 Door Coupe,127,127,143,221,213,221,141,136,141,110,110,110,1800,61.0,462.0,BMW,,,32462.695454545454,29732.477272727272,,,,,,,,,22938.0
36,BMW,5-Series,Sedan,85,85,95,87,84,87,92,88,92,48,48,48,939,,,,,,,,,,,,,,,,
37,BMW,7-Series,Sedan,13,13,15,15,14,15,17,17,17,15,15,15,181,63.0,465.0,BMW,,,32462.695454545454,29732.477272727272,,,,,,,,,7705.0
38,BMW,8-Series,2 Door Coupe,47,47,53,65,62,65,39,38,39,25,25,25,530,64.0,466.0,BMW,,,32462.695454545454,29732.477272727272,,,,,,,,,7763.0
39,BMW,i3,Sedan,7,7,8,11,11,11,19,18,19,22,22,22,177,65.0,467.0,BMW,,,32462.695454545454,29732.477272727272,,,,,,,,,1476.0
40,BMW,X1,SUV,188,188,212,347,334,347,189,182,189,142,142,142,2602,67.0,469.0,BMW,,,32462.695454545454,29732.477272727272,,,,,,,,,18255.0
41,BMW,X2,SUV,44,44,49,121,116,121,85,82,85,52,52,52,903,68.0,470.0,BMW,,,32462.695454545454,29732.477272727272,,,,,,,,,6563.0
42,BMW,X3,SUV,404,404,455,627,603,627,656,632,656,813,813,813,7503,40.0,26.0,BMW,Europe,All,37000.0,33873.0,3.0,6.0,225.0,16.0,23.0,4023.0,110.0,180.0,75858.0
43,BMW,X4,SUV,84,84,95,139,133,139,152,147,152,146,46,146,1463,69.0,471.0,BMW,,,32462.695454545454,29732.477272727272,,,,,,,,,10622.0
44,BMW,X5,SUV,323,323,364,518,498,518,561,540,561,493,493,493,5685,41.0,27.0,BMW,Europe,All,52195.0,47720.0,4.4,8.0,325.0,16.0,22.0,4824.0,111.0,184.0,60724.0
45,BMW,X6,SUV,72,72,81,113,108,113,122,118,122,96,96,96,1209,70.0,472.0,BMW,,,32462.695454545454,29732.477272727272,,,,,,,,,9590.0
46,BMW,X7,SUV,76,76,86,96,92,96,91,88,91,54,54,54,954,71.0,473.0,BMW,,,32462.695454545454,29732.477272727272,,,,,,,,,23046.0
47,BMW,Z4,2 Door Coupe,9,9,10,30,29,30,21,20,21,10,10,10,209,58.0,44.0,BMW,Europe,Rear,33895.0,31065.0,2.5,6.0,184.0,20.0,28.0,2932.0,98.0,161.0,2412.0
48,BMW,Z4,2 Door Coupe,9,9,10,30,29,30,21,20,21,10,10,10,209,59.0,45.0,BMW,Europe,Rear,41045.0,37575.0,3.0,6.0,225.0,21.0,29.0,2998.0,98.0,161.0,2412.0
49,Buick,Enclave,SUV,167,167,188,253,243,253,175,168,175,127,127,127,2170,81.0,474.0,Buick,,,32462.695454545454,29732.477272727272,,,,,,,,,42340.0
50,Buick,Encore,SUV,723,723,813,972,942,972,790,768,790,576,576,576,9221,82.0,475.0,Buick,,,32462.695454545454,29732.477272727272,,,,,,,,,20438.0
51,Buick,Encore,SUV,723,723,813,972,942,972,790,768,790,576,576,576,9221,83.0,476.0,Buick,,,32462.695454545454,29732.477272727272,,,,,,,,,72401.0
52,Buick,Envision,SUV,187,187,211,414,398,414,593,571,593,241,241,241,4291,84.0,477.0,Buick,,,32462.695454545454,29732.477272727272,,,,,,,,,47173.0
53,Buick,LaCrosse,Sedan,2,2,2,1,1,1,0,0,0,0,0,0,9,85.0,478.0,Buick,,,32462.695454545454,29732.477272727272,,,,,,,,,9.0
54,Buick,Regal,Sedan,5,5,6,1,1,1,0,0,0,0,0,0,19,77.0,51.0,Buick,USA,Front,24895.0,22835.0,3.8,6.0,200.0,20.0,30.0,3461.0,109.0,196.0,19.0
55,Buick,Regal,Sedan,5,5,6,1,1,1,0,0,0,0,0,0,19,78.0,52.0,Buick,USA,Front,28345.0,26047.0,3.8,6.0,240.0,18.0,28.0,3536.0,109.0,196.0,19.0
56,Cadillac,CT4,Sedan,63,63,71,81,78,81,68,65,68,29,29,29,725,94.0,479.0,Cadillac,,,32462.695454545454,29732.477272727272,,,,,,,,,7254.0
57,Cadillac,CT5,Sedan,95,95,107,100,96,100,63,60,63,49,49,49,926,95.0,480.0,Cadillac,,,32462.695454545454,29732.477272727272,,,,,,,,,9448.0
58,Cadillac,CT6,Sedan,0,0,0,1,1,1,0,0,0,0,0,0,3,96.0,481.0,Cadillac,,,32462.695454545454,29732.477272727272,,,,,,,,,103.0
59,Cadillac,CTS,Sedan,2,2,2,1,1,1,0,0,0,0,0,0,9,89.0,58.0,Cadillac,USA,Rear,30835.0,28575.0,3.6,6.0,255.0,18.0,25.0,3694.0,113.0,190.0,68.0
60,Cadillac,Escalade,SUV,217,217,244,343,330,343,380,366,380,208,208,208,3444,86.0,55.0,Cadillac,USA,Front,52795.0,48377.0,5.3,8.0,295.0,14.0,18.0,5367.0,116.0,199.0,40504.0
61,Cadillac,Escalade,SUV,217,217,244,343,330,343,380,366,380,208,208,208,3444,87.0,56.0,Cadillac,USA,All,52975.0,48541.0,6.0,8.0,345.0,13.0,17.0,5879.0,130.0,221.0,40504.0
62,Cadillac,XT4,SUV,299,299,337,294,282,294,80,77,80,53,53,53,2201,97.0,482.0,Cadillac,,,32462.695454545454,29732.477272727272,,,,,,,,,11576.0
63,Cadillac,XT5,SUV,378,378,425,575,553,575,293,282,293,196,196,196,4340,98.0,483.0,Cadillac,,,32462.695454545454,29732.477272727272,,,,,,,,,28378.0
64,Cadillac,XT6,SUV,146,146,164,175,168,175,136,131,136,82,82,82,1623,99.0,484.0,Cadillac,,,32462.695454545454,29732.477272727272,,,,,,,,,20663.0
65,Cadillac,XTS,Sedan,1,1,1,0,0,0,0,0,0,0,0,0,3,,,,,,,,,,,,,,,,
66,Chevrolet,Blazer,SUV,320,320,360,334,321,334,217,209,217,263,263,263,3421,127.0,485.0,Chevrolet,,,32462.695454545454,29732.477272727272,,,,,,,,,70323.0
67,Chevrolet,Bolt,Sedan,516,516,581,632,607,632,402,387,402,0,0,0,4675,128.0,486.0,Chevrolet,,,32462.695454545454,29732.477272727272,,,,,,,,,24827.0
68,Chevrolet,Camaro,2 Door Coupe,113,113,127,87,83,87,95,92,95,101,101,101,1195,129.0,487.0,Chevrolet,,,32462.695454545454,29732.477272727272,,,,,,,,,21893.0
69,Chevrolet,Colorado,Truck,626,626,704,452,435,452,406,391,406,358,358,358,5572,123.0,86.0,Chevrolet,USA,All,18760.0,17070.0,2.8,4.0,175.0,18.0,23.0,3623.0,111.0,192.0,73008.0
70,Chevrolet,Corvette,2 Door Coupe,90,90,101,295,283,295,247,238,247,125,125,125,2261,120.0,83.0,Chevrolet,USA,Rear,44535.0,39068.0,5.7,8.0,350.0,18.0,25.0,3246.0,105.0,180.0,33042.0
71,Chevrolet,Corvette,2 Door Coupe,90,90,101,295,283,295,247,238,247,125,125,125,2261,121.0,84.0,Chevrolet,USA,Rear,51535.0,45193.0,5.7,8.0,350.0,18.0,25.0,3248.0,105.0,180.0,33042.0
72,Chevrolet,Cruze,Sedan,2,2,2,2,2,2,0,0,0,0,0,0,12,,,,,,,,,,,,,,,,
73,Chevrolet,Equinox,SUV,836,836,941,781,751,781,867,835,867,393,393,393,8674,130.0,488.0,Chevrolet,,,32462.695454545454,29732.477272727272,,,,,,,,,165325.0
74,Chevrolet,Express, Commercial Van,256,256,288,99,95,99,93,90,93,148,148,148,1813,131.0,489.0,Chevrolet,,,32462.695454545454,29732.477272727272,,,,,,,,,44357.0
75,Chevrolet,Impala,Sedan,3,3,3,1,1,1,0,0,0,0,0,0,12,109.0,72.0,Chevrolet,USA,Front,21900.0,20095.0,3.4,6.0,180.0,21.0,32.0,3465.0,111.0,200.0,750.0
76,Chevrolet,Impala,Sedan,3,3,3,1,1,1,0,0,0,0,0,0,12,110.0,73.0,Chevrolet,USA,Front,25000.0,22931.0,3.8,6.0,200.0,20.0,30.0,3476.0,111.0,200.0,750.0
77,Chevrolet,Impala,Sedan,3,3,3,1,1,1,0,0,0,0,0,0,12,111.0,74.0,Chevrolet,USA,Front,27995.0,25672.0,3.8,6.0,240.0,18.0,28.0,3606.0,111.0,200.0,750.0
78,Chevrolet,Malibu,Sedan,241,241,271,155,149,155,47,46,47,87,87,87,1613,112.0,75.0,Chevrolet,USA,Front,18995.0,17434.0,2.2,4.0,145.0,24.0,34.0,3174.0,106.0,188.0,39376.0
79,Chevrolet,Malibu,Sedan,241,241,271,155,149,155,47,46,47,87,87,87,1613,113.0,76.0,Chevrolet,USA,Front,20370.0,18639.0,3.5,6.0,200.0,22.0,30.0,3297.0,106.0,188.0,39376.0
80,Chevrolet,Malibu,Sedan,241,241,271,155,149,155,47,46,47,87,87,87,1613,114.0,77.0,Chevrolet,USA,Front,23495.0,21551.0,3.5,6.0,200.0,23.0,32.0,3315.0,106.0,188.0,39376.0
81,Chevrolet,Malibu,Sedan,241,241,271,155,149,155,47,46,47,87,87,87,1613,115.0,78.0,Chevrolet,USA,Front,22225.0,20394.0,3.5,6.0,200.0,22.0,30.0,3458.0,112.0,188.0,39376.0
82,Chevrolet,Silverado,Truck,4633,4633,5212,221,213,221,3792,3652,3792,3350,3350,3350,36419,124.0,87.0,Chevrolet,USA,Rear,20310.0,18480.0,4.3,6.0,200.0,15.0,21.0,4142.0,119.0,206.0,529765.0
83,Chevrolet,Silverado,Truck,4633,4633,5212,221,213,221,3792,3652,3792,3350,3350,3350,36419,125.0,88.0,Chevrolet,USA,All,40340.0,35399.0,6.0,8.0,300.0,13.0,17.0,4804.0,144.0,238.0,529765.0
84,Chevrolet,Spark,Sedan,455,455,512,572,550,572,585,564,585,432,432,432,6146,133.0,491.0,Chevrolet,,,32462.695454545454,29732.477272727272,,,,,,,,,24460.0
85,Chevrolet,Suburban,SUV,174,174,196,221,213,221,223,215,223,173,173,173,2379,100.0,63.0,Chevrolet,USA,Front,42735.0,37422.0,5.3,8.0,295.0,14.0,18.0,4947.0,130.0,219.0,85159.0
86,Chevrolet,Tahoe,SUV,365,365,411,397,382,397,357,344,357,405,405,405,4590,101.0,64.0,Chevrolet,USA,All,41465.0,36287.0,5.3,8.0,295.0,14.0,18.0,5050.0,116.0,197.0,106019.0
87,Chevrolet,TrailBlazer,SUV,698,698,785,884,850,884,582,561,582,373,373,373,7643,102.0,65.0,Chevrolet,USA,Front,30295.0,27479.0,4.2,6.0,275.0,16.0,21.0,4425.0,113.0,192.0,90163.0
88,Chevrolet,Traverse,SUV,530,530,597,660,635,660,232,224,232,135,135,135,4705,134.0,492.0,Chevrolet,,,32462.695454545454,29732.477272727272,,,,,,,,,116251.0
89,Chevrolet,Trax,SUV,285,285,321,284,273,284,174,168,174,48,48,48,2392,135.0,493.0,Chevrolet,,,32462.695454545454,29732.477272727272,,,,,,,,,42590.0
90,Chrysler,300,Sedan,78,78,88,88,84,88,27,26,27,70,70,70,794,,,,,,,,,,,,,,,,
91,Chrysler,Grand Caravan,Minivan,218,218,245,208,200,208,381,367,381,99,99,99,2723,,,,,,,,,,,,,,,,
92,Chrysler,Pacifica,Minivan,459,459,516,302,290,302,539,519,539,194,194,194,4507,150.0,104.0,Chrysler,USA,Rear,31230.0,28725.0,3.5,6.0,250.0,17.0,23.0,4675.0,116.0,199.0,74970.0
93,Dodge,Challenger,2 Door Coupe,133,133,150,214,206,214,93,93,0,79,79,79,1473,166.0,496.0,Dodge,,,32462.695454545454,29732.477272727272,,,,,,,,,54315.0
94,Dodge,Charger,Sedan,203,203,228,224,215,224,78,75,0,133,133,133,1849,167.0,497.0,Dodge,,,32462.695454545454,29732.477272727272,,,,,,,,,78388.0
95,Dodge,Dart,Sedan,0,0,0,0,0,0,1,0,0,0,0,0,1,168.0,498.0,Dodge,,,32462.695454545454,29732.477272727272,,,,,,,,,10.0
96,Dodge,Durango,SUV,622,622,699,415,399,415,323,323,0,545,545,545,5453,153.0,105.0,Dodge,USA,All,32235.0,29472.0,4.7,8.0,230.0,15.0,21.0,4987.0,119.0,201.0,65936.0
97,Dodge,Grand Caravan,Minivan,1087,1087,1223,792,762,792,120,120,0,7,7,7,6004,,,,,,,,,,,,,,,,
98,Dodge,Journey,SUV,19,19,21,7,7,7,5,5,0,0,0,0,90,169.0,499.0,Dodge,,,32462.695454545454,29732.477272727272,,,,,,,,,14034.0
99,Fiat,124 Spider,2 Door Coupe,8,8,9,7,7,7,2,2,2,0,0,0,52,,,,,,,,,,,,,,,,
100,Fiat,500,Sedan,0,0,1,0,0,0,1,1,1,1,0,0,5,,,,,,,,,,,,,,,,
101,Fiat,500L,Sedan,0,0,0,1,1,1,0,0,0,0,0,0,3,172.0,502.0,Fiat,,,32462.695454545454,29732.477272727272,,,,,,,,,188.0
102,Fiat,500X,SUV,2,2,2,3,3,3,0,0,0,1,0,0,16,173.0,503.0,Fiat,,,32462.695454545454,29732.477272727272,,,,,,,,,1180.0
103,Ford,Bronco,SUV,484,484,544,1879,1807,1879,1129,1087,1129,3441,3441,3441,20745,199.0,504.0,Ford,,,32462.695454545454,29732.477272727272,,,,,,,,,35023.0
104,Ford,Bronco,SUV,484,484,544,1879,1807,1879,1129,1087,1129,3441,3441,3441,20745,200.0,505.0,Ford,,,32462.695454545454,29732.477272727272,,,,,,,,,108169.0
105,Ford,E-Series, Commercial Van,218,218,246,328,316,328,293,282,293,272,272,272,3338,201.0,506.0,Ford,,,32462.695454545454,29732.477272727272,,,,,,,,,37122.0
106,Ford,EcoSport,SUV,292,292,329,285,274,285,208,201,208,198,198,198,2968,202.0,507.0,Ford,,,32462.695454545454,29732.477272727272,,,,,,,,,40659.0
107,Ford,Edge,SUV,808,808,909,825,794,825,1151,1109,1151,1150,1150,1150,11830,203.0,508.0,Ford,,,32462.695454545454,29732.477272727272,,,,,,,,,85225.0
108,Ford,Escape,SUV,1135,1135,1277,2975,2861,3975,2871,2765,2871,1698,1698,1698,26959,177.0,121.0,Ford,USA,All,22515.0,20907.0,3.0,6.0,201.0,18.0,23.0,3346.0,103.0,173.0,145415.0
109,Ford,Expedition,SUV,336,336,378,525,505,525,439,423,439,324,324,324,4878,175.0,119.0,Ford,USA,Front,34560.0,30468.0,4.6,8.0,232.0,15.0,19.0,5000.0,119.0,206.0,81988.0
110,Ford,Explorer,SUV,1147,1147,1291,1612,1550,1612,1342,1292,1342,1352,1352,1352,16391,176.0,120.0,Ford,USA,All,29670.0,26983.0,4.0,6.0,210.0,15.0,20.0,4463.0,114.0,190.0,219871.0
111,Ford,F-Series,Truck,9676,9676,10886,9820,9443,9820,9821,9458,9821,9327,9327,9327,116402,204.0,509.0,Ford,,,32462.695454545454,29732.477272727272,,,,,,,,,726003.0
112,Ford,Fusion,Sedan,108,108,122,120,115,120,51,49,51,22,22,22,910,205.0,510.0,Ford,,,32462.695454545454,29732.477272727272,,,,,,,,,11781.0
113,Ford,GT,2 Door Coupe,2,2,3,2,2,2,0,0,0,1,1,1,16,206.0,511.0,Ford,,,32462.695454545454,29732.477272727272,,,,,,,,,143.0
114,Ford,Maverick,Truck,0,0,0,0,0,0,1,1,1,500,500,500,1503,207.0,512.0,Ford,,,32462.695454545454,29732.477272727272,,,,,,,,,13258.0
115,Ford,Mustang,2 Door Coupe,235,235,264,650,625,650,378,364,378,148,148,148,4223,191.0,135.0,Ford,USA,Rear,18345.0,16943.0,3.8,6.0,193.0,20.0,29.0,3290.0,101.0,183.0,52384.0
116,Ford,Mustang,2 Door Coupe,235,235,264,650,625,650,378,364,378,148,148,148,4223,192.0,136.0,Ford,USA,Rear,18345.0,16943.0,3.8,6.0,193.0,20.0,29.0,3290.0,101.0,183.0,27140.0
117,Ford,Mustang,2 Door Coupe,235,235,264,650,625,650,378,364,378,148,148,148,4223,193.0,137.0,Ford,USA,Rear,29380.0,26875.0,4.6,8.0,260.0,17.0,25.0,3347.0,101.0,183.0,52384.0
118,Ford,Mustang,2 Door Coupe,235,235,264,650,625,650,378,364,378,148,148,148,4223,194.0,138.0,Ford,USA,Rear,29380.0,26875.0,4.6,8.0,260.0,17.0,25.0,3347.0,101.0,183.0,27140.0
119,Ford,Mustang Mach E,SUV,213,213,239,489,470,489,384,370,384,367,367,367,4352,,,,,,,,,,,,,,,,
120,Ford,Ranger,Truck,671,671,755,1393,1339,1393,1021,983,1021,651,651,651,11200,198.0,142.0,Ford,USA,Rear,14385.0,13717.0,2.3,4.0,143.0,24.0,29.0,3028.0,111.0,188.0,94755.0
121,Ford,Transit, Commercial Van,1561,1561,1960,1810,1459,1517,1534,1477,1534,895,895,895,17098,208.0,513.0,Ford,,,32462.695454545454,29732.477272727272,,,,,,,,,99745.0
122,Ford,Transit, Commercial Van,1561,1561,1960,1810,1459,1517,1534,1477,1534,895,895,895,17098,209.0,514.0,Ford,,,32462.695454545454,29732.477272727272,,,,,,,,,26112.0
123,Genesis,G70,Sedan,31,52,72,87,151,128,125,152,110,112,52,88,1160,210.0,515.0,Genesis,,,32462.695454545454,29732.477272727272,,,,,,,,,10718.0
124,Genesis,G80,Sedan,34,25,26,30,30,30,25,24,16,12,8,17,277,211.0,516.0,Genesis,,,32462.695454545454,29732.477272727272,,,,,,,,,6031.0
125,Genesis,G90,Sedan,5,4,5,4,3,2,3,6,5,7,7,6,57,212.0,517.0,Genesis,,,32462.695454545454,29732.477272727272,,,,,,,,,1821.0
126,Genesis,GV70,SUV,0,0,0,0,45,131,250,225,257,253,230,131,1522,213.0,518.0,Genesis,,,32462.695454545454,29732.477272727272,,,,,,,,,10735.0
127,Genesis,GV80,SUV,108,106,160,154,146,168,121,119,113,119,130,109,1553,214.0,519.0,Genesis,,,32462.695454545454,29732.477272727272,,,,,,,,,20325.0
128,GMC,Acadia,SUV,330,330,371,397,381,397,312,301,312,118,118,118,3485,223.0,520.0,GMC,,,32462.695454545454,29732.477272727272,,,,,,,,,59913.0
